"","SCC","EI.Sector","Short.Name","SCC.Level.One","SCC.Level.Two","SCC.Level.Three","SCC.Level.Four"
"1","10100101","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Anthracite Coal /Pulverized Coal","External Combustion Boilers","Electric Generation","Anthracite Coal","Pulverized Coal"
"2","10100102","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Anthracite Coal /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Electric Generation","Anthracite Coal","Traveling Grate (Overfeed) Stoker"
"3","10100201","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Wet Bottom","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom (Bituminous Coal)"
"4","10100202","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Bituminous Coal)"
"5","10100203","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Cyclone Furnace","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cyclone Furnace (Bituminous Coal)"
"6","10100204","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Spreader Stoker","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Spreader Stoker (Bituminous Coal)"
"7","10100205","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Traveling Grate (Overfeed) Stoker (Bituminous Coal)"
"8","10100211","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Wet Bottom (Tangential)","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Wet Bottom (Tangential) (Bituminous Coal)"
"9","10100212","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom (Tangential)","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Tangential) (Bituminous Coal)"
"10","10100215","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Cell Burner","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cell Burner (Bituminous Coal)"
"11","10100217","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Bubbling Bed (Bituminous Coal)"
"12","10100218","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Circulating Bed (Bitum. Coal)"
"13","10100221","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Wet Bottom","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom (Subbituminous Coal)"
"14","10100222","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Subbituminous Coal)"
"15","10100223","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Cyclone Furnace","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cyclone Furnace (Subbituminous Coal)"
"16","10100224","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Spreader Stoker","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Spreader Stoker (Subbituminous Coal)"
"17","10100225","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Traveling Grate (Overfeed) Stoker (Subbituminous Coal)"
"18","10100226","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom Tangential (Subbituminous Coal)"
"19","10100235","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Cell Burner","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cell Burner (Subbituminous Coal)"
"20","10100237","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Bubbling Bed (Subbitum Coal)"
"21","10100238","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion - Circulating Bed","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion - Circulating Bed (Subbitum Coal)"
"22","10100300","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Wet Bottom","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Wet Bottom"
"23","10100301","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Wall Fired","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Dry Bottom, Wall Fired"
"24","10100302","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Dry Bottom, Tangential Fired"
"25","10100303","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Cyclone Furnace","External Combustion Boilers","Electric Generation","Lignite","Cyclone Furnace"
"26","10100304","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Traveling Grate (Overfeed) Stoker","External Combustion Boilers","Electric Generation","Lignite","Traveling Grate (Overfeed) Stoker"
"27","10100306","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Spreader Stoker","External Combustion Boilers","Electric Generation","Lignite","Spreader Stoker"
"28","10100316","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed ** (See 101003-17 & -18)","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed ** (See 101003-17 & -18)"
"29","10100317","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed Combustion - Bubbling Bed","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed Combustion - Bubbling Bed"
"30","10100318","Fuel Comb - Electric Generation - Coal","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed Combustion - Circulating Bed","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed Combustion - Circulating Bed"
"31","10100401","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Residual Oil /Grade 6 Oil: Normal Firing","External Combustion Boilers","Electric Generation","Residual Oil","Grade 6 Oil: Normal Firing"
"32","10100404","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Residual Oil /Grade 6 Oil: Tangential Firing","External Combustion Boilers","Electric Generation","Residual Oil","Grade 6 Oil: Tangential Firing"
"33","10100405","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Residual Oil /Grade 5 Oil: Normal Firing","External Combustion Boilers","Electric Generation","Residual Oil","Grade 5 Oil: Normal Firing"
"34","10100406","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Residual Oil /Grade 5 Oil: Tangential Firing","External Combustion Boilers","Electric Generation","Residual Oil","Grade 5 Oil: Tangential Firing"
"35","10100501","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Distillate Oil /Grades 1 and 2 Oil","External Combustion Boilers","Electric Generation","Distillate Oil","Grades 1 and 2 Oil"
"36","10100504","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Distillate Oil /Grade 4 Oil: Normal Firing","External Combustion Boilers","Electric Generation","Distillate Oil","Grade 4 Oil: Normal Firing"
"37","10100505","Fuel Comb - Electric Generation - Oil","Ext Comb /Electric Gen /Distillate Oil /Grade 4 Oil: Tangential Firing","External Combustion Boilers","Electric Generation","Distillate Oil","Grade 4 Oil: Tangential Firing"
"38","10100601","Fuel Comb - Electric Generation - Natural Gas","Ext Comb /Electric Gen /Natural Gas /Boilers : 100 Million Btu/hr except Tangential","External Combustion Boilers","Electric Generation","Natural Gas","Boilers : 100 Million Btu/hr except Tangential"
"39","10100602","Fuel Comb - Electric Generation - Natural Gas","Ext Comb /Electric Gen /Natural Gas /Boilers < 100 Million Btu/hr except Tangential","External Combustion Boilers","Electric Generation","Natural Gas","Boilers < 100 Million Btu/hr except Tangential"
"40","10100604","Fuel Comb - Electric Generation - Natural Gas","Ext Comb /Electric Gen /Natural Gas /Tangentially Fired Units","External Combustion Boilers","Electric Generation","Natural Gas","Tangentially Fired Units"
"41","10100701","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Process Gas /Boilers : 100 Million Btu/hr","External Combustion Boilers","Electric Generation","Process Gas","Boilers : 100 Million Btu/hr"
"42","10100702","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Process Gas /Boilers < 100 Million Btu/hr","External Combustion Boilers","Electric Generation","Process Gas","Boilers < 100 Million Btu/hr"
"43","10100703","Fuel Comb - Electric Generation - Other","Ext Comb /Electric Gen /Process Gas /Petroleum Refinery Gas","External Combustion Boilers","Electric Generation","Process Gas","Petroleum Refinery Gas"
