"","SCC","EI.Sector","Short.Name","SCC.Level.One","SCC.Level.Two","SCC.Level.Three","SCC.Level.Four"
"542","2201001000","Mobile - On-Road Gasoline Light Duty Vehicles","Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Total: All Road Types","Mobile Sources","Highway Vehicles - Gasoline","Light Duty Gasoline Vehicles (LDGV)","Total: All Road Types"
"543","2201001110","Mobile - On-Road Gasoline Light Duty Vehicles","Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Rural Interstate: Total","Mobile Sources","Highway Vehicles - Gasoline","Light Duty Gasoline Vehicles (LDGV)","Rural Interstate: Total"
"544","2201001111","Mobile - On-Road Gasoline Light Duty Vehicles","Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Interstate: Rural Time 1","Mobile Sources","Highway Vehicles - Gasoline","Light Duty Gasoline Vehicles (LDGV)","Interstate: Rural Time 1"
"545","2201001112","Mobile - On-Road Gasoline Light Duty Vehicles","Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Interstate: Rural Time 2","Mobile Sources","Highway Vehicles - Gasoline","Light Duty Gasoline Vehicles (LDGV)","Interstate: Rural Time 2"
"546","2201001113","Mobile - On-Road Gasoline Light Duty Vehicles","Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Interstate: Rural Time 3","Mobile Sources","Highway Vehicles - Gasoline","Light Duty Gasoline Vehicles (LDGV)","Interstate: Rural Time 3"
"547","2201001114","Mobile - On-Road Gasoline Light Duty Vehicles","Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Interstate: Rural Time 4","Mobile Sources","Highway Vehicles - Gasoline","Light Duty Gasoline Vehicles (LDGV)","Interstate: Rural Time 4"
"548","220100111B","Mobile - On-Road Gasoline Light Duty Vehicles","Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Rural Interstate: Brake Wear","Mobile Sources","Highway Vehicles - Gasoline","Light Duty Gasoline Vehicles (LDGV)","Rural Interstate: Brake Wear"
"549","220100111T","Mobile - On-Road Gasoline Light Duty Vehicles","Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Rural Interstate: Tire Wear","Mobile Sources","Highway Vehicles - Gasoline","Light Duty Gasoline Vehicles (LDGV)","Rural Interstate: Tire Wear"
"550","220100111V","Mobile - On-Road Gasoline Light Duty Vehicles","Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Rural Interstate: Evap (except Refueling)","Mobile Sources","Highway Vehicles - Gasoline","Light Duty Gasoline Vehicles (LDGV)","Rural Interstate: Evap (except Refueling)"
"551","220100111X","Mobile - On-Road Gasoline Light Duty Vehicles","Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Rural Interstate: Exhaust","Mobile Sources","Highway Vehicles - Gasoline","Light Duty Gasoline Vehicles (LDGV)","Rural Interstate: Exhaust"
