"","SCC","EI.Sector","Short.Name","SCC.Level.One","SCC.Level.Two","SCC.Level.Three","SCC.Level.Four"
----------------------------------------------------------------------------------------------------
"1365","2230070110","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Rural Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Rural Interstate: Total"
"1390","2230070210","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Rural Local: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Rural Local: Total"
"1380","2230070170","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Rural Major Collector: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Rural Major Collector: Total"
"1375","2230070150","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Rural Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Rural Minor Arterial: Total"
"1385","2230070190","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Rural Minor Collector: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Rural Minor Collector: Total"
"1370","2230070130","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Rural Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Rural Other Principal Arterial: Total"
"1364","2230070000","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Total: All Road Types","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Total: All Road Types"
"1415","2230070310","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Urban Collector: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Urban Collector: Total"
"1395","2230070230","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Urban Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Urban Interstate: Total"
"1420","2230070330","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Urban Local: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Urban Local: Total"
"1410","2230070290","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Urban Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Urban Minor Arterial: Total"
"1400","2230070250","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Urban Other Freeways & Expressways: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Urban Other Freeways and Expressways: Total"
